title,sold_by,description,img_url,new_price
Nosak Famili Vegetable Oil 2.5L -×6(in a cartoon),Shoppersplace,Nosak Famili Vegetable Oil is 100% pure vegetable oil is a healthy alternative to adulterated oil. It has no additives and is cholesterol free. It’s hard to find unadulterated oil these days.,https://www.gomarket.com.ng/wp-content/uploads/2024/01/Screenshot_2024-01-15-20-42-18-828_com.android.chrome2-220x220.jpg,44000.0
Nosak Famili Quality Palm Oil 2.5L -×6 (in a cartoon) cartoon),Shoppersplace,"Nosak Famili Palm Oil is your perfect choice for healthy cooking. It does not have any pungent smell, doesn’t stick to the tongue as noticed with adulterated oil and also gives your food an amazing flavor.
READ MORE",https://www.gomarket.com.ng/wp-content/uploads/2024/01/Screenshot_2024-01-20-13-22-00-155_com.instagram.android4-220x220.jpg,38500.0
Nosak Famili Vegetable Oil 2.5l,Shoppersplace,"Nosak Famili Vegetable Oil is a natural source of ‘phytochemicals’, which are antioxidants that protect your body against damage from toxins and free radicals.",https://www.gomarket.com.ng/wp-content/uploads/2024/01/Screenshot_2024-01-15-20-42-18-828_com.android.chrome2-220x220.jpg,10450.0
wellsley canola oil 4.75L,Gomarket Store,"Canola oil is widely used in the food industry for baking, frying, sautéing, in salad dressings and more. The oil can also be used as an ingredient in lubricants, candles, cosmetics and inks.",https://www.gomarket.com.ng/wp-content/uploads/2023/12/301737-220x220.jpeg,23650.0
Green Giant Sweet Corn 340g,Gomarket Store,"Green Giant sweetcorn provides you with 1 of your 5 a day.Green Giant sweetcorn is corn on the cob put in a tin in less than 8 hours.Green Giant sweetcorn is made out of 100% natural ingredients.
Green giant swetcorn is made out of 100% natural ingredients. 80g of drained sweet corn = one of your five recommended daily servings of fruit & veg.",https://www.gomarket.com.ng/wp-content/uploads/2023/10/green-giant-sweet-corn-220x220.jpg,1270.5
Crown Premium Pasta Carton (500g x20),Gomarket Store,"Crown Premium Pasta is a high-quality product (made from high protein Durum Wheat) and contains Vitamins and Micronutrients. It’s of premium quality, non-sticky, delightful taste, goes perfectly well as plain with any type of sauce as well as Jollof.
Contains
20 PCS of 500g pasta",https://www.gomarket.com.ng/wp-content/uploads/2023/10/1638037211290-220x220.jpg,14850.0
Royal Amoy White Vinegar 750ml,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2023/09/download-1-1-194x220.jpg,1386.0
Heinz Apple Distilled White Vinegar 946ml,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2023/09/download-1-202x220.jpg,4389.0
Heinz Apple Cidar Vinegar 946ml,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2023/09/applecidervinegarwith5acidity-00013000008143-en-US-220x220.png,4851.0
Laser Olive Oil Pomace 1L,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2023/09/laser_olive_oil_1litre__1_-500x500-1-220x220.jpg,13860.0
Dangote Refined Granulated Sugar 250g,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2023/06/DANGOTE-REFINED-GRANULATED-SUGAR-250G-6156000061009-220x220.jpg,495.0
Dante Extra Virgin Olive Oil 1L,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2023/06/dante-220x220.jpg,12127.5
Nasco Cornflakes Original 500g,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2023/05/Untitled-design-2022-07-28T115013.743-220x220.png,3060.75
Sma Gold Baby Milk 2 – 400g,Official Store,"Sma Gold 400g 2 Follow-Up is for children from age 6-12 Months
It has More DHA that contains the necessary vitamins for proper growth in children.
It support child’s mental & physical development",https://www.gomarket.com.ng/wp-content/uploads/2023/03/image010-500x500-2-220x220.png,7390.85
White Flour (Full Custard Bucket),Gomarket Store,Buy a full paint bucket of white baking Flour at the best price,https://www.gomarket.com.ng/wp-content/uploads/2023/03/flour-220x220.jpg,4400.0
Golden Penny Spaghetti (fat)500g – CARTON OF 20PCS,Official Store,"Golden Penny Spaghetti is a long, fat, dry pasta that is very tasty, does not get soggy and is enjoyed in a variety of ways and cooks in ten minutes. Rich in carbohydrates, essential fats, and other nutrients, the result is always a delicious mouth-watering delicacy. Golden Penny Spaghetti can be enjoyed plain with stew, vegetables, as Jollof or fried. It is very tasty and does not get soggy. You can enjoy with friends and family and be rest assured you are filled with vital nutrients and minerals to keep you going.Buy your Golden Penny Spaghetti today on Gomarket at the best price in Nigeria.About Golden PennyThe Golden Penny brand caters to a whole range of food and snack categories: Noodles, Goldenvita, Confectionary Flour, Pasta, Wheat Flour all available in different variants and sizes, delighting millions all over Nigeria and beyond and available at pocket-friendly prices.",https://www.gomarket.com.ng/wp-content/uploads/2023/03/golden-penny-20-piece-220x220.jpg,19635.0
Golden Penny Spaghetti 500g,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2022/12/golden-peny-spag-220x220.jpg,1200.0
Indomie Super Pack onion flavor 120g,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2022/12/indomie-220x220.jpg,17999.0
Ola Ola Yam Flour 2.2kg,Gomarket Store,"Pounded yam flour is used to make smooth dough called pounded yam. Pounded yam is a special delicacy and very popular food in West Africa. It is similar to mashed potatoes except that pounded yam is smoother, heavier and tastier. It is eaten with various types of stew or soup such as vegetable or egusi soup.",https://www.gomarket.com.ng/wp-content/uploads/2022/12/ola-ola-220x220.jpg,17902.5
KTC Pure Sunflower Oil 5L,Gomarket Store,KTC Pure Sunflower Oil 5L,https://www.gomarket.com.ng/wp-content/uploads/2022/12/ktc-sunflower-220x220.png,16747.5
Saffola Peeled Plum Tomators 400g,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2022/11/PHOTO-2022-11-26-18-49-37-220x220.jpg,1155.0
Pringles Texas BBQ Sace 40g,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2022/11/82b7d558-1428-47d7-811e-873ea2788316-220x220.jpg,952.88
Heinze Ketchup 1.25kg,Gomarket Store,"Heinz Tomato Ketchup is a brand of ketchup produced by the H. J. Heinz Company. It is the highest-selling product the company has ever distributed. Besides glass bottles, Heinz ketchup comes in squeezable plastic containers and single-serving packets.",https://www.gomarket.com.ng/wp-content/uploads/2022/11/heinz-220x220.jpg,6352.5
Lami Brown shawarma bread,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2022/11/lebanese_bread_1-220x220.jpg,1650.0
Kelloggs Crunchy Nut 500g,Gomarket Store,"The Crunchy Nut range brings you an irresistible selection of truly delicious choices.
Golden Flakes of Corn with Sugar, Peanuts and Honey.
Enjoy as part of a varied & balanced diet and a healthy lifestyle.",https://www.gomarket.com.ng/wp-content/uploads/2022/11/kelloggs-crunchy-nut-220x220.jpeg,5544.0
Lamis White Flour 1kg,Gomarket Store,"We’ve got everything from flour, baking powder, baking soda, cake mix, cake decor, food essence, food colour, icing sugar and so much more.",https://www.gomarket.com.ng/wp-content/uploads/2022/11/lamis-220x220.jpg,2541.0
Palm Oil 2.5L,Gomarket Store,2 Litre Fresh Palm Oil,https://www.gomarket.com.ng/wp-content/uploads/2022/10/palm-oil-220x220.jpg,4620.0
Sunola Soya Oil 1.9 litres,Gomarket Store,"A nutritious and completely balanced oil containing adequate nutrient levels. Made from Soya beans, Sunola Oil is healthy and does not control harmful cholesterols. Sunola soya oil is made from soya and is very pure, therefore healthy enough to be used in cooking for the whole family.",https://www.gomarket.com.ng/wp-content/uploads/2022/07/1-4-6-220x220.jpg,5775.0
De Rica Tomato Paste – 800g,Gomarket Store,"For tasty dishes
Del Rico is a superior brand of tomato paste.
It provides vitamins and minerals all which make your meal more special.
It has a similar nutritional value of fresh tomatoes and GoMarket recommends it.",https://www.gomarket.com.ng/wp-content/uploads/2022/03/De-rica-220x220.jpg,2194.5
Amoy Dark Soy Sauce-625ml,Gomarket Store,Amoy dark soy sauce is wonderfully versatile. It enhances the sweetness and richness of your cooking. Add Amoy dark soy sauce when frying or grilling meat or veg to bring out the flavor.,https://www.gomarket.com.ng/wp-content/uploads/2022/03/1591183861.Amoy-Dark-Soy-Sauce-625ml-400x400-4-220x220.jpg,4042.5
Amoy Light Soy Sauce 625ml,Gomarket Store,"Amoy Light Soy Sauce brings out the intensity of savory flavors. Brush onto chicken wings or ribs before barbecuing. Splash onto a salad for an interesting twist. King Prawn skewers with a crunchy Asian coleslaw with a hint of sweet Thai chili. Quick and easy, great for barbecues. It is suitable for vegetarians. Salt crystals may form naturally in this product.",https://www.gomarket.com.ng/wp-content/uploads/2022/03/71ojyCmej4L._AC_SX569_-220x220.jpg,4042.5
Laser Extra Virgin Olive Oil -1 L,Gomarket Store,"Our Laser Extra Virgin Olive Oil is carefully produced with the finest farm grown Spanish olives via a chemical-free process that involves only pressure, resulting in a naturally level of low acidity. As a result, our olive oil is more palatable and agreeable to consume. It’s considered to be one of the finest and fruitiest olive oils around today. Drizzle over a house salad and garnish to perfection.",https://www.gomarket.com.ng/wp-content/uploads/2022/03/laser_olive_oil_1litre-220x220.jpg,13860.0
Pap Yellow (Ogi),Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2021/11/Pap-Yellow-Corn-300x300-removebg-preview-220x220.png,577.5
Fally White Vinegar 750ml,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2021/07/OIP-1-220x220.jpg,924.0
Crown Premium Spaghetti (500g),Gomarket Store,"Crown Premium Pasta is a high-quality product (made from high protein Durum Wheat) and contains Vitamins and Micronutrients.
It’s of premium quality, non-sticky, delightful taste, goes perfectly well as plain with any type of sauce as well as Jollof.",https://www.gomarket.com.ng/wp-content/uploads/2021/07/download-2-220x220.jpg,1200.0
Honeywell Wheat Flour 1kg,Gomarket Store,"Honeywell Wheatmeal is a wholesome meal that is naturally enriched with the goodness and satisfaction of everyone. Honeywell Wheatmeal is sourced from premium world-class wheat and contains 100% wheat. It is produced under international milling standards which assures customers that it was milled under extremely hygienic conditions. Rich in protein and fiber, Honeywell Wheatmeal is fortified with Vitamin A and naturally enriched with other essential vitamins and minerals including Calcium, Iron and Zinc, making it ideal for the whole family",https://www.gomarket.com.ng/wp-content/uploads/2021/06/Honeywell-wheat-2kg-220x220.png,1732.5
Banga Red Palm Oil 4 Liters,Gomarket Store,"-The Richest Palm Oil Extracted From Fresh Palm Kernel
-It is Healthy For The Heart And Cholesterol Free
-It is Produced in a Clean and Hygienic Environment
-It is non Adulterated and NAFDAC Certified",https://www.gomarket.com.ng/wp-content/uploads/2021/05/banga-220x220.jpg,16170.0
Wesson Canola Oil 4.75L,Gomarket Store,For pure and cholesterol free meal.,https://www.gomarket.com.ng/wp-content/uploads/2021/04/large-198492-220x220.jpg,28875.0
Kellogg’s Frosted Flakes Cereal,Gomarket Store,"Help get your family fueled up for a great day with Kellogg’s Frosted Flakes Cereal. Oven-toasted crunchy corn flakes are perfectly glazed with a sweet frosting. Fortified cereal with 8 essential vitamins and minerals, no cholesterol and 0 grams of fat, they’re great!",https://www.gomarket.com.ng/wp-content/uploads/2021/01/download-76-220x220.jpg,4966.5
Alpen No Sugar Added Muesli 550 g,Gomarket Store,"Get your day off to a great start with our No Added Sugar Muesli. Made from the same blend of rolled oats, whole grain wheat flakes, crunchy hazelnuts, nutty almonds and juicy raisins, it’s equally delicious.
High in fiber
Low in saturated fat
Blend of whole grain oats and wheat",https://www.gomarket.com.ng/wp-content/uploads/2021/01/download-70-220x220.jpg,3811.5
Nestle Frosted Shreddies Original 460g,Gomarket Store,"Frosted Shreddies – whole grain weaved into delicious cereal squares with a tasty frosting, for a satisfyingly crunchy bite at breakfast! Shreddies is a source of iron which contributes to normal energy-yielding metabolism as part of a healthy diet and lifestyle.",https://www.gomarket.com.ng/wp-content/uploads/2023/06/SHREDDIES-460G-220x220.jpeg,7276.5
Kellogg’s Moons and Stars Cereal 400g,Gomarket Store,"Kellogg’s Moons and Stars is wheat based breakfast cereal with yummy chocolaty taste and the goodness of wholegrain shaped liked moons and stars. Kellogg’s Moons and Stars is: *Low in Fat
* Naturally Cholesterol free
* High in protein
* Source of fibre
* High in calcium
* High in Iron
* High in B group vitamins",https://www.gomarket.com.ng/wp-content/uploads/2021/01/download-61-201x220.jpg,4620.0
Kellogg’s Fruit & Fibre 500g,Gomarket Store,"Kellogg’s Fruit & Fibre is whole wheat flakes with raisins, coconut, banana, apple and hazelnuts.
Excellent source of fibre.
Made with wholegrain.",https://www.gomarket.com.ng/wp-content/uploads/2021/01/spmex2470-220x220.jpg,4950.0
Golden Country Corn Flake 500g,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2021/01/download-42-220x220.jpg,2656.5
Ayoola poundo yam flour 900g,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2020/05/Ayoola-poundo-yam-flour450g-220x220.jpg,3987.5
Kelloggs Corn Flakes 550g,Gomarket Store,"Kellogg’s Corn Flakes are a crispy, golden way to start your day; Made with a simple recipe, every bite is as delicious as the first
A classic, family-favorite cereal that’s perfect for both kids and adults; Enjoy by the bowlful, with yogurt and fruit, or as the base for your favorite desserts and savory dishes
Good source of 8 vitamins and minerals; Cholesterol and fat free (0g monounsaturated fat; 0g polyunsaturated fat); Kosher Pareve
Made with no artificial colors or flavors; A travel-ready food; Pack some cereal in your lunch box for a crispy treat, or stow some in your tote bag, car, and desk for anytime snacking
Includes 1, 12-ounce box of ready-to-eat Corn Flakes Cereal; Packaged for freshness and great taste",https://www.gomarket.com.ng/wp-content/uploads/2020/10/kellogs-220x220.png,4989.6
Greenery Brown Mushrooms,Gomarket Store,"Chestnut mushrooms with roasted chestnuts in a Madeira wine sauce is doing double duty as the perfect side dish or a vegetarian main course. Perfect when you have vegan and meat-eaters gathering around the same table. No need to make two dishes, we can all share!",https://www.gomarket.com.ng/wp-content/uploads/2020/10/mushroom-220x220.jpg,3349.5
OLA-OLA Pounded Yam Flour – 0.907kg,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2019/10/1-218-220x220.jpg,9240.0
Grand Pure Soya Oil – 4L,Gomarket Store,"THIS IS PURE REFINED OIL FROM SOYA BEAN SEEDS. IT IS PROCESSED TO ACHIEVE THE QUALITIES OF PURITY, CLARITY AND STABILITY IN VISCOSITY EVEN AT VERY LOW TEMPERATURE.
GRAND PURE SOYA OIL EMITS AN EXCITING AROMA WHILE IN USE AND GUARANTEES DELICIOUS TASTE. IT ALSO DOES NOT FOAM OR FUME AND IS ENRICHED WITH VITAMIN A, WHICH IS KNOWN FOR IMPROVEMENT OF EYESIGHT.
NO CHOLESTEROL
POLY-UNSATURATED FATTY ACIDS -58%
MONO-UNSATURATED FATTY ACIDS -29%
SATURATED FATTY ACIDS -13%",https://www.gomarket.com.ng/wp-content/uploads/2020/09/UAC-Grand-Pure-Oil-220x220.png,10972.5
Elex Peanut 475/510g,Gomarket Store,Peanut like no other,https://www.gomarket.com.ng/wp-content/uploads/2023/10/img_9724-220x220.jpg,4389.0
"Honey Nut Cheerios, Gluten Free Cereal With Oats, 10.8 Oz",Gomarket Store,"CEREAL: Whole grain oats cereal with real honey and natural almond flavor
GLUTEN FREE: Gluten free and simply made without artificial flavors or colors; Good source of iron and calcium
WHOLE GRAIN: First ingredient is whole grain and fortified with 12 essential vitamins and minerals
HEART HEALTHY: Three grams of soluble fiber daily from whole grain oat foods, like Honey Nut Cheerios cereal, in a diet low in saturated fat and cholesterol, may reduce the risk of heart disease. Honey Nut Cheerios cereal provides .75 grams per serving
PERFECT SNACK: A pantry staple for breakfast or a wholesome snack",https://www.gomarket.com.ng/wp-content/uploads/2020/08/cheerios-220x220.jpg,6352.5
Golden Penny Spaghettini 500g,Gomarket Store,A healthy meal for the family.,https://www.gomarket.com.ng/wp-content/uploads/2023/03/C04LXPjojIAWaqo8xgMm54j2ITt2PCVoyrULegQy-220x220.png,1200.0
Ayoola poundo yam flour 1.8kg,Gomarket Store,Not Given,https://www.gomarket.com.ng/wp-content/uploads/2020/05/Ayoola-poundo-yam-flour450g-220x220.jpg,6844.0
Bonita Slim Spaghetti 500g,Gomarket Store,"Bonita Spaghetti is a long, thin, dried cylindrical pasta that is very tasty, does not get soggy and is enjoyed in a variety of ways and cooks in ten minutes. Rich in carbohydrates, essential fats, and other nutrients, the result is always a delicious mouth-watering delicacy. The can be enjoyed plain with stew, vegetables, as Jollof or fried. It is very tasty and does not get soggy. You can enjoy with friends and family and be rest assured you are filled with vital nutrients and minerals to keep you going.",https://www.gomarket.com.ng/wp-content/uploads/2020/05/bonita-spag-220x220.jpg,1155.0
Devon Kings Vegetable Oil – 5 Litres,Gomarket Store,"DEVON KINGS VEGETABLE OIL 5 Liter
King’s cooking oil is produced and hygienically packaged in a world-class, clean manufacturing environment to ensure your cooking oil isn’t adulterated. As long as the packaging seal is unbroken, you are completely assured of the purity and the tamper-evident seal on the King’s 5L Jerry Can testifies to this commitment to quality.
Whether it is quality, affordability or freshness for you, Devon King’s is the right Cooking Oil because it consistently delivers for your family’s everyday needs and offers unbeatable value with every pack size you purchase.",https://www.gomarket.com.ng/wp-content/uploads/2020/05/D5-220x220.jpg,11550.0
Devon Kings Vegetable Oil – 3 Litres,Gomarket Store,"DEVON KINGS VEGETABLE OIL 3 Liter
King’s cooking oil is produced and hygienically packaged in a world-class, clean manufacturing environment to ensure your cooking oil isn’t adulterated. As long as the packaging seal is unbroken, you are completely assured of the purity and the tamper-evident seal on the King’s 3L Jerry Can testifies to this commitment to quality.
Whether it is quality, affordability or freshness for you, Devon King’s is the right Cooking Oil because it consistently delivers for your family’s everyday needs and offers unbeatable value with every pack size you purchase.",https://www.gomarket.com.ng/wp-content/uploads/2020/05/D3-220x220.jpg,7854.0
Devon Kings Vegetable Oil – 2 Litres,Gomarket Store,"DEVON KINGS VEGETABLE OIL 2 Liter
King’s cooking oil is produced and hygienically packaged in a world-class, clean manufacturing environment to ensure your cooking oil isn’t adulterated. As long as the packaging seal is unbroken, you are completely assured of the purity and the tamper-evident seal on the King’s 2L Jerry Can testifies to this commitment to quality.
Whether it is quality, affordability or freshness for you, Devon King’s is the right Cooking Oil because it consistently delivers for your family’s everyday needs and offers unbeatable value with every pack size you purchase.",https://www.gomarket.com.ng/wp-content/uploads/2020/05/D2-220x220.jpg,5775.0
Devon Kings Vegetable Oil – 1 Litre,Gomarket Store,"DEVON KINGS VEGETABLE OIL 1 Liter
King’s cooking oil is produced and hygienically packaged in a world-class, clean manufacturing environment to ensure your cooking oil isn’t adulterated. As long as the packaging seal is unbroken, you are completely assured of the purity and the tamper-evident seal on the King’s 1L Jerry Can testifies to this commitment to quality.
Whether it is quality, affordability or freshness for you, Devon King’s is the right Cooking Oil because it consistently delivers for your family’s everyday needs and offers unbeatable value with every pack size you purchase.",https://www.gomarket.com.ng/wp-content/uploads/2020/05/D1-220x220.jpg,2970.0
